severity,diagnostic_category,recommended_action,section,line_id,display_type,text,start,end,duration,word_start,last_word_start,word_span,start_to_first_word,final_word_hold,word_count,text_word_count,first_internal_word_gap,max_internal_word_gap,computed_later_gap_typical,max_gap_before_word,max_gap_after_word,gap_from_previous_end,gap_to_next_start,previous_line_id,previous_display_type,next_line_id,next_display_type,line_anchor_source,line_end_source,line_end_confidence,timing_source,review_flags,edited_manually
0,ok,No obvious diagnostic issue detected.,OPENING,line-0001,lyric,There was a time when I flew higher,8.378,15.562,7.184,8.528,11.888,3.360,0.150,3.674,8,8,0.576,1.472,0.336,when,i,,0.080,,,line-0002,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,long_tail_after_last_word_needs_review,False
0,ok,No obvious diagnostic issue detected.,OPENING,line-0002,lyric,Was a time the wild girl running free,15.642,23.082,7.440,15.792,20.064,4.272,0.150,3.018,8,8,0.576,1.200,0.680,girl,running,0.080,0.080,line-0001,lyric,line-0003,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
100,very_large_internal_word_gap|first_word_anchor_suspect|first_gap_outlier,Treat as a likely bad word-anchor section. Consider local realignment rather than manual display-only repair. Check whether the first word has been placed too early or too late. Compare the first word against the rest of the line. The opening anchor may be unreliable.,OPENING,line-0003,lyric,Would be me,23.162,24.480,1.318,23.312,27.712,4.400,0.150,-3.232,3,3,4.256,4.256,0.144,would,be,0.080,0.250,line-0002,lyric,line-0004,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,first_word_anchor_suspect|large_internal_word_gap_needs_review|low_confidence_internal_alignment_audio_boundary_used_needs_review,False
10,draft_builder_rescue_applied,This line has already been rescued by Kara Creator. Check whether the raw word anchors are still trustworthy.,OPENING,line-0004,lyric,"Now I see her, feel the fire",24.730,32.778,8.048,27.936,30.608,2.672,3.206,2.170,7,7,0.624,1.024,0.304,feel,the,0.250,0.080,line-0003,lyric,line-0005,lyric,audio-phrase-boundary-after-low-confidence-line,inferred-from-next-display-line,fallback,kara-creator-audio-phrase-boundary-rescue,line_start_adjusted_after_low_confidence_phrase_boundary_needs_review,False
0,ok,No obvious diagnostic issue detected.,OPENING,line-0005,lyric,Now I know she needs me there to share,32.858,41.210,8.352,33.008,38.160,5.152,0.150,3.050,9,9,0.672,1.744,0.448,needs,me,0.080,0.080,line-0004,lyric,line-0006,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
30,short_display_duration,Check readability and timing. The display duration is short.,OPENING,line-0006,lyric,I'm nowhere,41.290,41.946,0.656,41.440,41.696,0.256,0.150,0.250,2,2,0.256,0.256,0.256,i'm,nowhere,0.080,0.750,line-0005,lyric,line-0007,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,very_short_display_duration_needs_review,False
55,large_internal_word_gap|draft_builder_rescue_applied,"Review word anchors. If the gap is musical rather than real, mark this as a local realignment candidate. This line has already been rescued by Kara Creator. Check whether the raw word anchors are still trustworthy.",VERSE,line-0007,lyric,All these blank and tranquil years,42.696,51.194,8.498,45.136,49.888,4.752,2.440,1.306,6,6,0.400,2.640,0.744,tranquil,years,0.750,0.080,line-0006,lyric,line-0008,lyric,late-next-line-anchor-rescue,inferred-from-next-display-line,fallback,kara-creator-late-next-line-anchor-rescue,large_internal_word_gap_needs_review|late_next_line_anchor_rescue_applied_needs_review,False
0,ok,No obvious diagnostic issue detected.,VERSE,line-0008,lyric,Seems they've dried up all my tears,51.274,55.370,4.096,51.424,55.120,3.696,0.150,0.250,7,7,0.528,1.088,0.560,dried,up,0.080,0.750,line-0007,lyric,line-0009,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
100,very_large_internal_word_gap|draft_builder_rescue_applied|local_realignment_candidate,"Treat as a likely bad word-anchor section. Consider local realignment rather than manual display-only repair. This line has already been rescued by Kara Creator. Check whether the raw word anchors are still trustworthy. Best next step: local realignment of this phrase window, not another display timing patch.",VERSE,line-0009,lyric,And while she runs free and fast,56.120,57.020,0.900,58.096,64.640,6.544,1.976,-7.620,7,7,0.352,4.192,0.752,free,and,0.750,0.250,line-0008,lyric,line-0010,lyric,late-next-line-anchor-rescue,inferred-from-next-display-line,fallback,kara-creator-late-next-line-anchor-rescue,large_internal_word_gap_needs_review|late_next_line_anchor_rescue_applied_needs_review|low_confidence_internal_alignment_audio_boundary_used_needs_review|very_short_display_duration_needs_review,False
85,large_internal_word_gap|long_tail_after_last_word|draft_builder_rescue_applied|alignment_confidence_boundary_used,"Review word anchors. If the gap is musical rather than real, mark this as a local realignment candidate. Check whether the line should really remain visible this long after the final word start. This line has already been rescued by Kara Creator. Check whether the raw word anchors are still trustworthy. Audio phrase-boundary rescue was used. Check that the display looks right, but treat word timings with caution.",VERSE,line-0010,lyric,Seems my wild days are past,57.270,78.468,21.198,64.736,70.080,5.344,7.466,8.388,6,6,0.528,2.496,0.952,days,are,0.250,1.250,line-0009,lyric,line-0011,lyric,audio-phrase-boundary-after-low-confidence-line,inferred-from-next-display-line,fallback,kara-creator-audio-phrase-boundary-rescue,large_internal_word_gap_needs_review|line_start_adjusted_after_low_confidence_phrase_boundary_needs_review|long_tail_after_last_word_needs_review,False
