severity,diagnostic_category,recommended_action,section,line_id,display_type,text,start,end,duration,word_start,last_word_start,word_span,start_to_first_word,final_word_hold,word_count,text_word_count,first_internal_word_gap,max_internal_word_gap,computed_later_gap_typical,max_gap_before_word,max_gap_after_word,gap_from_previous_end,gap_to_next_start,previous_line_id,previous_display_type,next_line_id,next_display_type,line_anchor_source,line_end_source,line_end_confidence,timing_source,review_flags,edited_manually
10,instrumental_placeholder,Check only if the visual instrumental gap feels wrong in the editor.,Section 1,line-0001,instrumental,. . .,0.000,12.286,12.286,,,,,,0,0,0.000,0.000,0.000,,,,1.500,,,line-0002,lyric,,,,raw-instrumental-placeholder-inferred,instrumental_timing_needs_review|instrumental_at_start_needs_review,False
0,ok,No obvious diagnostic issue detected.,Section 2,line-0002,lyric,The snow glows white on the mountain tonight,13.786,16.442,2.656,13.936,16.256,2.320,0.150,0.186,8,8,0.064,0.544,0.440,white,on,1.500,0.080,line-0001,instrumental,line-0003,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
0,ok,No obvious diagnostic issue detected.,Section 2,line-0003,lyric,Not a footprint to be seen,16.522,20.762,4.240,16.672,18.928,2.256,0.150,1.834,6,6,0.752,1.120,0.160,footprint,to,0.080,0.080,line-0002,lyric,line-0004,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
0,ok,No obvious diagnostic issue detected.,Section 2,line-0004,lyric,A kingdom of isolation,20.842,24.058,3.216,20.992,21.808,0.816,0.150,2.250,4,4,0.112,0.512,0.352,kingdom,of,0.080,0.080,line-0003,lyric,line-0005,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
75,very_large_internal_word_gap|pronunciation_or_tokenisation_check,"Treat as a likely bad word-anchor section. Consider local realignment rather than manual display-only repair. Check contractions, hyphens, rare words, and custom pronunciations.",Section 2,line-0005,lyric,And it looks like I'm the queen,24.138,28.890,4.752,24.288,28.672,4.384,0.150,0.218,7,7,0.096,3.520,0.208,like,i'm,0.080,0.080,line-0004,lyric,line-0006,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
0,ok,No obvious diagnostic issue detected.,Section 2,line-0006,lyric,The wind is howling like this swirling storm inside,28.970,35.338,6.368,29.120,32.864,3.744,0.150,2.474,9,9,0.064,0.944,0.448,swirling,storm,0.080,0.080,line-0005,lyric,line-0007,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
0,ok,No obvious diagnostic issue detected.,Section 2,line-0007,lyric,"Couldn't keep it in, heaven knows I tried",35.418,39.050,3.632,35.568,38.096,2.528,0.150,0.954,8,8,0.416,0.576,0.328,in,heaven,0.080,0.080,line-0006,lyric,line-0008,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
100,very_large_internal_word_gap|first_word_anchor_suspect|first_gap_outlier|pronunciation_or_tokenisation_check,"Treat as a likely bad word-anchor section. Consider local realignment rather than manual display-only repair. Check whether the first word has been placed too early or too late. Compare the first word against the rest of the line. The opening anchor may be unreliable. Check contractions, hyphens, rare words, and custom pronunciations.",Section 3,line-0008,lyric,"Don't let them in, don't let them see",39.130,45.834,6.704,39.280,45.280,6.000,0.150,0.554,8,8,3.424,3.424,0.472,don't,let,0.080,0.080,line-0007,lyric,line-0009,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
0,ok,No obvious diagnostic issue detected.,Section 3,line-0009,lyric,Be the good girl you always have to be,45.914,49.274,3.360,46.064,48.800,2.736,0.150,0.474,9,9,0.208,0.640,0.352,always,have,0.080,0.080,line-0008,lyric,line-0010,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
0,ok,No obvious diagnostic issue detected.,Section 3,line-0010,lyric,"Conceal, don't feel, don't let them know",49.354,55.386,6.032,49.504,52.368,2.864,0.150,3.018,7,7,0.672,0.736,0.416,feel,don't,0.080,0.080,line-0009,lyric,line-0011,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
0,ok,No obvious diagnostic issue detected.,Section 3,line-0011,lyric,"Well, now they know",55.466,58.778,3.312,55.616,57.104,1.488,0.150,1.674,4,4,0.384,0.640,0.552,they,know,0.080,0.080,line-0010,lyric,line-0012,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
0,ok,No obvious diagnostic issue detected.,Section 4,line-0012,lyric,"Let it go, let it go",58.858,62.442,3.584,59.008,61.264,2.256,0.150,1.178,6,6,0.320,1.312,0.256,go,let,0.080,0.080,line-0011,lyric,line-0013,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
0,ok,No obvious diagnostic issue detected.,Section 4,line-0013,lyric,Can't hold it back anymore,62.522,64.858,2.336,62.672,64.080,1.408,0.150,0.778,5,5,0.480,0.496,0.352,back,anymore,0.080,0.080,line-0012,lyric,line-0014,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
20,first_gap_outlier,Compare the first word against the rest of the line. The opening anchor may be unreliable.,Section 4,line-0014,lyric,"Let it go, let it go",64.938,69.322,4.384,65.088,68.208,3.120,0.150,1.114,6,6,1.040,1.248,0.328,go,let,0.080,0.080,line-0013,lyric,line-0015,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
0,ok,No obvious diagnostic issue detected.,Section 4,line-0015,lyric,Turn away and slam the door,69.402,73.530,4.128,69.552,71.856,2.304,0.150,1.674,6,6,0.304,0.752,0.520,slam,the,0.080,0.080,line-0014,lyric,line-0016,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
0,ok,No obvious diagnostic issue detected.,Section 4,line-0016,lyric,I don't care what they're going to say,73.610,79.850,6.240,73.760,78.336,4.576,0.150,1.514,8,8,0.560,1.216,0.560,care,what,0.080,0.080,line-0015,lyric,line-0017,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
0,ok,No obvious diagnostic issue detected.,Section 4,line-0017,lyric,Let the storm rage on,79.930,82.778,2.848,80.080,82.032,1.952,0.150,0.746,5,5,0.368,0.752,0.736,rage,on,0.080,0.080,line-0016,lyric,line-0018,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
20,first_gap_outlier,Compare the first word against the rest of the line. The opening anchor may be unreliable.,Section 4,line-0018,lyric,The cold never bothered me anyway,82.858,86.660,3.802,83.008,85.760,2.752,0.150,0.900,6,6,1.168,1.168,0.408,the,cold,0.080,0.080,line-0017,lyric,line-0019,instrumental,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
10,instrumental_placeholder,Check only if the visual instrumental gap feels wrong in the editor.,Section 5,line-0019,instrumental,. . .,86.740,90.806,4.066,,,,,,0,0,0.000,0.000,0.000,,,0.080,0.500,line-0018,lyric,line-0020,lyric,,,,raw-instrumental-placeholder-inferred,instrumental_timing_needs_review,False
0,ok,No obvious diagnostic issue detected.,Section 6,line-0020,lyric,It's funny how some distance makes everything seem small,91.306,97.626,6.320,91.456,96.128,4.672,0.150,1.498,9,9,0.176,1.424,0.512,distance,makes,0.500,0.080,line-0019,instrumental,line-0021,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
0,ok,No obvious diagnostic issue detected.,Section 6,line-0021,lyric,And the fears that once controlled me can't get to me at all,97.706,105.450,7.744,97.856,103.344,5.488,0.150,2.106,13,13,0.160,0.976,0.480,controlled,me,0.080,0.080,line-0020,lyric,line-0022,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
0,ok,No obvious diagnostic issue detected.,Section 6,line-0022,lyric,It's time to see what I can do,105.530,108.906,3.376,105.680,108.544,2.864,0.150,0.362,8,8,0.288,0.592,0.416,see,what,0.080,0.080,line-0021,lyric,line-0023,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
0,ok,No obvious diagnostic issue detected.,Section 6,line-0023,lyric,To test the limits and break through,108.986,112.458,3.472,109.136,112.016,2.880,0.150,0.442,7,7,0.192,1.040,0.480,limits,and,0.080,0.080,line-0022,lyric,line-0024,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
0,ok,No obvious diagnostic issue detected.,Section 6,line-0024,lyric,"No right, no wrong, no rules for me",112.538,116.698,4.160,112.688,115.216,2.528,0.150,1.482,8,8,0.240,0.496,0.432,no,wrong,0.080,0.080,line-0023,lyric,line-0025,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
0,ok,No obvious diagnostic issue detected.,Section 6,line-0025,lyric,I'm free,116.778,120.122,3.344,116.928,117.264,0.336,0.150,2.858,2,2,0.336,0.336,0.336,i'm,free,0.080,0.080,line-0024,lyric,line-0026,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
0,ok,No obvious diagnostic issue detected.,Section 7,line-0026,lyric,"Let it go, let it go",120.202,122.394,2.192,120.352,122.512,2.160,0.150,-0.118,6,6,0.272,1.232,0.264,go,let,0.080,0.080,line-0025,lyric,line-0027,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
20,first_gap_outlier,Compare the first word against the rest of the line. The opening anchor may be unreliable.,Section 7,line-0027,lyric,I am one with the wind and sky,122.474,127.162,4.688,122.624,125.904,3.280,0.150,1.258,8,8,1.280,1.280,0.336,i,am,0.080,0.080,line-0026,lyric,line-0028,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
0,ok,No obvious diagnostic issue detected.,Section 7,line-0028,lyric,"Let it go, let it go",127.242,130.762,3.520,127.392,129.472,2.080,0.150,1.290,6,6,0.272,1.152,0.264,go,let,0.080,0.080,line-0027,lyric,line-0029,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
0,ok,No obvious diagnostic issue detected.,Section 7,line-0029,lyric,You'll never see me cry,130.842,134.746,3.904,130.992,133.136,2.144,0.150,1.610,5,5,0.336,0.720,0.672,see,me,0.080,0.080,line-0028,lyric,line-0030,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
35,large_internal_word_gap,"Review word anchors. If the gap is musical rather than real, mark this as a local realignment candidate.",Section 7,line-0030,lyric,Here I stand and here I stay,134.826,141.194,6.368,134.976,139.744,4.768,0.150,1.450,7,7,1.136,1.904,0.480,stand,and,0.080,0.080,line-0029,lyric,line-0031,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
0,ok,No obvious diagnostic issue detected.,Section 7,line-0031,lyric,Let the storm rage on,141.274,144.298,3.024,141.424,143.328,1.904,0.150,0.970,5,5,0.304,0.768,0.736,rage,on,0.080,0.080,line-0030,lyric,line-0032,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
100,very_large_internal_word_gap|first_word_anchor_suspect|first_gap_outlier,Treat as a likely bad word-anchor section. Consider local realignment rather than manual display-only repair. Check whether the first word has been placed too early or too late. Compare the first word against the rest of the line. The opening anchor may be unreliable.,Section 8,line-0032,lyric,My power flurries through the air into the ground,144.378,159.690,15.312,144.528,157.376,12.848,0.150,2.314,9,9,8.592,8.592,0.752,my,power,0.080,0.080,line-0031,lyric,line-0033,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
0,ok,No obvious diagnostic issue detected.,Section 8,line-0033,lyric,My soul is spiralling in frozen fractals all around,159.770,166.794,7.024,159.920,164.976,5.056,0.150,1.818,9,9,0.192,1.440,0.592,spiralling,in,0.080,0.080,line-0032,lyric,line-0034,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
55,large_internal_word_gap|pronunciation_or_tokenisation_check,"Review word anchors. If the gap is musical rather than real, mark this as a local realignment candidate. Check contractions, hyphens, rare words, and custom pronunciations.",Section 8,line-0034,lyric,And one thought crystallises like an icy blast,166.874,173.754,6.880,167.024,171.328,4.304,0.150,2.426,8,8,0.176,1.936,0.344,crystallises,like,0.080,0.080,line-0033,lyric,line-0035,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
75,very_large_internal_word_gap|pronunciation_or_tokenisation_check,"Treat as a likely bad word-anchor section. Consider local realignment rather than manual display-only repair. Check contractions, hyphens, rare words, and custom pronunciations.",Section 8,line-0035,lyric,"I'm never going back, the past is in the past",173.834,182.922,9.088,173.984,182.048,8.064,0.150,0.874,10,10,0.128,3.888,0.632,in,the,0.080,0.080,line-0034,lyric,line-0036,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
0,ok,No obvious diagnostic issue detected.,Section 9,line-0036,lyric,"Let it go, let it go",183.002,185.354,2.352,183.152,185.376,2.224,0.150,-0.022,6,6,0.336,1.312,0.200,let,it,0.080,0.080,line-0035,lyric,line-0037,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
0,ok,No obvious diagnostic issue detected.,Section 9,line-0037,lyric,And I'll rise like the break of dawn,185.434,188.490,3.056,185.584,187.328,1.744,0.150,1.162,8,8,0.096,0.544,0.272,break,of,0.080,0.080,line-0036,lyric,line-0038,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
0,ok,No obvious diagnostic issue detected.,Section 9,line-0038,lyric,"Let it go, let it go",188.570,190.602,2.032,188.720,190.784,2.064,0.150,-0.182,6,6,0.272,1.200,0.240,go,let,0.080,0.080,line-0037,lyric,line-0039,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
0,ok,No obvious diagnostic issue detected.,Section 9,line-0039,lyric,That perfect girl is gone,190.682,195.994,5.312,190.832,194.592,3.760,0.150,1.402,5,5,1.424,1.424,0.688,that,perfect,0.080,0.080,line-0038,lyric,line-0040,lyric,raw-word-review-first-word,raw-inferred-from-next-display-line,raw,raw-word-review,,False
