severity,diagnostic_category,recommended_action,section,line_id,display_type,text,start,end,duration,word_start,last_word_start,word_span,start_to_first_word,final_word_hold,word_count,text_word_count,first_internal_word_gap,max_internal_word_gap,computed_later_gap_typical,max_gap_before_word,max_gap_after_word,gap_from_previous_end,gap_to_next_start,previous_line_id,previous_display_type,next_line_id,next_display_type,line_anchor_source,line_end_source,line_end_confidence,timing_source,review_flags,edited_manually
10,instrumental_placeholder,Check only if the visual instrumental gap feels wrong in the editor.,Section 1,line-0001,instrumental,. . .,0.000,5.758,5.758,,,,,,0,0,0.000,0.000,0.000,,,,1.500,,,line-0002,lyric,,,,instrumental-placeholder-inferred,instrumental_at_start_needs_review|instrumental_timing_needs_review,False
0,ok,No obvious diagnostic issue detected.,Section 2,line-0002,lyric,Can't I have one day?,7.258,9.898,2.640,7.408,8.832,1.424,0.150,1.066,5,5,0.368,0.576,0.320,have,one,1.500,0.080,line-0001,instrumental,line-0003,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,late_anchor_rescue_skipped_after_instrumental_placeholder,False
0,ok,No obvious diagnostic issue detected.,Section 2,line-0003,lyric,Without you breathing in my ear,9.978,11.994,2.016,10.128,11.680,1.552,0.150,0.314,6,6,0.416,0.496,0.240,breathing,in,0.080,0.080,line-0002,lyric,line-0004,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 2,line-0004,lyric,Without your voice inside my head,12.074,13.834,1.760,12.224,13.808,1.584,0.150,0.026,6,6,0.400,0.416,0.288,inside,my,0.080,0.080,line-0003,lyric,line-0005,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 2,line-0005,lyric,"With words of caution, guilt and fear",13.914,16.010,2.096,14.064,15.824,1.760,0.150,0.186,7,7,0.304,0.576,0.288,caution,guilt,0.080,0.080,line-0004,lyric,line-0006,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 3,line-0006,lyric,Just one day,16.090,17.754,1.664,16.240,17.104,0.864,0.150,0.650,3,3,0.496,0.496,0.368,just,one,0.080,0.080,line-0005,lyric,line-0007,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 3,line-0007,lyric,Without feeling like you're on my back,17.834,20.394,2.560,17.984,19.904,1.920,0.150,0.490,7,7,0.256,0.592,0.320,feeling,like,0.080,0.080,line-0006,lyric,line-0008,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 3,line-0008,lyric,Every time my heart soars,20.474,22.218,1.744,20.624,21.872,1.248,0.150,0.346,5,5,0.272,0.368,0.352,heart,soars,0.080,0.080,line-0007,lyric,line-0009,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 3,line-0009,lyric,You're right there with a heart attack,22.298,24.506,2.208,22.448,23.888,1.440,0.150,0.618,7,7,0.160,0.384,0.288,right,there,0.080,0.080,line-0008,lyric,line-0010,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 4,line-0010,lyric,Is this all you left me?,24.586,27.274,2.688,24.736,25.936,1.200,0.150,1.338,6,6,0.192,0.400,0.240,left,me,0.080,0.080,line-0009,lyric,line-0011,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 4,line-0011,lyric,A body full of second-hand shame,27.354,30.090,2.736,27.504,29.456,1.952,0.150,0.634,6,6,0.208,0.864,0.392,secondhand,shame,0.080,0.080,line-0010,lyric,line-0012,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 4,line-0012,lyric,And a box with my name on it.,30.170,32.634,2.464,30.320,32.512,2.192,0.150,0.122,8,8,0.160,0.496,0.400,box,with,0.080,0.080,line-0011,lyric,line-0013,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 4,line-0013,lyric,Couldn't you have left me,32.714,35.674,2.960,32.864,34.320,1.456,0.150,1.354,5,5,0.256,0.464,0.464,you,have,0.080,0.080,line-0012,lyric,line-0014,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 4,line-0014,lyric,To my own devices?,35.754,40.842,5.088,35.904,37.392,1.488,0.150,3.450,4,4,0.192,1.104,0.648,my,own,0.080,0.080,line-0013,lyric,line-0015,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,long_tail_after_last_word_needs_review,False
0,ok,No obvious diagnostic issue detected.,Section 5,line-0015,lyric,I've moved on,40.922,44.218,3.296,41.072,42.928,1.856,0.150,1.290,3,3,0.928,0.928,0.928,i've,moved,0.080,0.080,line-0014,lyric,line-0016,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 5,line-0016,lyric,This is the happiest day,44.298,46.154,1.856,44.448,45.904,1.456,0.150,0.250,5,5,0.256,0.768,0.224,happiest,day,0.080,0.080,line-0015,lyric,line-0017,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 5,line-0017,lyric,Of all the days I can remember,46.234,48.618,2.384,46.384,48.128,1.744,0.150,0.490,7,7,0.208,0.496,0.240,days,i,0.080,0.080,line-0016,lyric,line-0018,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 5,line-0018,lyric,And you've been gone,48.698,53.194,4.496,48.848,51.040,2.192,0.150,2.154,4,4,0.144,1.312,1.024,you've,been,0.080,0.080,line-0017,lyric,line-0019,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 5,line-0019,lyric,Under the soil,53.274,54.938,1.664,53.424,54.240,0.816,0.150,0.698,3,3,0.720,0.720,0.096,under,the,0.080,0.080,line-0018,lyric,line-0020,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 5,line-0020,lyric,A year come September,55.018,56.954,1.936,55.168,56.096,0.928,0.150,0.858,4,4,0.272,0.368,0.328,year,come,0.080,0.080,line-0019,lyric,line-0021,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 5,line-0021,lyric,So why do I still feel the burn,57.034,59.050,2.016,57.184,58.848,1.664,0.150,0.202,8,8,0.304,0.336,0.264,still,feel,0.080,0.080,line-0020,lyric,line-0022,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 5,line-0022,lyric,Of your sharp tongue at every turn?,59.130,61.114,1.984,59.280,60.832,1.552,0.150,0.282,7,7,0.208,0.368,0.288,sharp,tongue,0.080,0.080,line-0021,lyric,line-0023,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 5,line-0023,lyric,"I'm thirty four now, you don't get a say",61.194,65.146,3.952,61.344,63.680,2.336,0.150,1.466,9,9,0.112,0.432,0.320,thirty,four,0.080,0.080,line-0022,lyric,line-0024,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 5,line-0024,lyric,Can't I just have both feet in the future,65.226,68.458,3.232,65.376,67.472,2.096,0.150,0.986,9,9,0.560,0.560,0.240,can't,i,0.080,0.080,line-0023,lyric,line-0025,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
20,long_tail_after_last_word,Check whether the line should really remain visible this long after the final word start.,Section 5,line-0025,lyric,Just for one day?,68.538,76.938,8.400,68.688,70.000,1.312,0.150,6.938,4,4,0.432,0.560,0.440,one,day,0.080,0.080,line-0024,lyric,line-0026,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,long_tail_after_last_word_needs_review,False
0,ok,No obvious diagnostic issue detected.,Section 6,line-0026,lyric,Why carry dead weight?,77.018,79.642,2.624,77.168,78.496,1.328,0.150,1.146,4,4,0.240,0.768,0.544,carry,dead,0.080,0.080,line-0025,lyric,line-0027,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 6,line-0027,lyric,Fed-exed from a brother,79.722,81.082,1.360,79.872,80.800,0.928,0.150,0.282,4,4,0.624,0.624,0.152,fedexed,from,0.080,0.080,line-0026,lyric,line-0028,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 6,line-0028,lyric,Dragged from one home to another,81.162,83.226,2.064,81.312,82.816,1.504,0.150,0.410,6,6,0.368,0.368,0.272,dragged,from,0.080,0.080,line-0027,lyric,line-0029,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 6,line-0029,lyric,It's just dead weight,83.306,85.434,2.128,83.456,84.672,1.216,0.150,0.762,4,4,0.336,0.528,0.440,just,dead,0.080,0.080,line-0028,lyric,line-0030,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 6,line-0030,lyric,But it's heavy on my bones,85.514,87.290,1.776,85.664,87.024,1.360,0.150,0.266,6,6,0.144,0.528,0.240,heavy,on,0.080,0.080,line-0029,lyric,line-0031,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 6,line-0031,lyric,And now it's hanging in my home,87.370,90.074,2.704,87.520,89.200,1.680,0.150,0.874,7,7,0.208,0.416,0.304,hanging,in,0.080,0.080,line-0030,lyric,line-0032,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 7,line-0032,lyric,Is this what you wanted?,90.154,92.810,2.656,90.304,91.216,0.912,0.150,1.594,5,5,0.192,0.304,0.288,this,what,0.080,0.080,line-0031,lyric,line-0033,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 7,line-0033,lyric,For me to be forever second-guessing,92.890,95.546,2.656,93.040,94.736,1.696,0.150,0.810,6,6,0.224,0.704,0.344,forever,secondguessing,0.080,0.080,line-0032,lyric,line-0034,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 7,line-0034,lyric,Always doubting every blessing,95.626,97.674,2.048,95.776,97.376,1.600,0.150,0.298,4,4,0.704,0.704,0.448,always,doubting,0.080,0.080,line-0033,lyric,line-0035,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 7,line-0035,lyric,Always feeling like I'm hunted,97.754,101.210,3.456,97.904,99.424,1.520,0.150,1.786,5,5,0.592,0.592,0.288,always,feeling,0.080,0.080,line-0034,lyric,line-0036,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 7,line-0036,lyric,By a life I left behind,101.290,104.490,3.200,101.440,103.248,1.808,0.150,1.242,6,6,0.272,0.752,0.328,life,i,0.080,0.080,line-0035,lyric,line-0037,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
