severity,diagnostic_category,recommended_action,section,line_id,display_type,text,start,end,duration,word_start,last_word_start,word_span,start_to_first_word,final_word_hold,word_count,text_word_count,first_internal_word_gap,max_internal_word_gap,computed_later_gap_typical,max_gap_before_word,max_gap_after_word,gap_from_previous_end,gap_to_next_start,previous_line_id,previous_display_type,next_line_id,next_display_type,line_anchor_source,line_end_source,line_end_confidence,timing_source,review_flags,edited_manually
10,instrumental_placeholder,Check only if the visual instrumental gap feels wrong in the editor.,Section 1,line-0001,instrumental,. . .,0.000,12.286,12.286,,,,,,0,0,0.000,0.000,0.000,,,,1.500,,,line-0002,lyric,,,,instrumental-placeholder-inferred,instrumental_at_start_needs_review|instrumental_timing_needs_review,False
0,ok,No obvious diagnostic issue detected.,Section 2,line-0002,lyric,The snow glows white on the mountain tonight,13.786,16.442,2.656,13.936,16.256,2.320,0.150,0.186,8,8,0.064,0.544,0.440,white,on,1.500,0.080,line-0001,instrumental,line-0003,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,late_anchor_rescue_skipped_after_instrumental_placeholder,False
0,ok,No obvious diagnostic issue detected.,Section 2,line-0003,lyric,Not a footprint to be seen,16.522,20.762,4.240,16.672,18.928,2.256,0.150,1.834,6,6,0.752,1.120,0.160,footprint,to,0.080,0.080,line-0002,lyric,line-0004,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 2,line-0004,lyric,A kingdom of isolation,20.842,22.058,1.216,20.992,21.808,0.816,0.150,0.250,4,4,0.112,0.512,0.352,kingdom,of,0.080,0.750,line-0003,lyric,line-0005,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
100,very_large_internal_word_gap|pronunciation_or_tokenisation_check|draft_builder_rescue_applied|local_realignment_candidate,"Treat as a likely bad word-anchor section. Consider local realignment rather than manual display-only repair. Check contractions, hyphens, rare words, and custom pronunciations. This line has already been rescued by Kara Creator. Check whether the raw word anchors are still trustworthy. Best next step: local realignment of this phrase window, not another display timing patch.",Section 2,line-0005,lyric,And it looks like I'm the queen,22.808,23.700,0.892,24.288,28.672,4.384,1.480,-4.972,7,7,0.096,3.520,0.208,like,i'm,0.750,0.250,line-0004,lyric,line-0006,lyric,late-next-line-anchor-rescue,inferred-from-next-display-line,fallback,kara-creator-late-next-line-anchor-rescue,large_internal_word_gap_needs_review|late_next_line_anchor_rescue_applied_needs_review|low_confidence_internal_alignment_audio_boundary_used_needs_review|very_short_display_duration_needs_review,False
10,draft_builder_rescue_applied,This line has already been rescued by Kara Creator. Check whether the raw word anchors are still trustworthy.,Section 2,line-0006,lyric,The wind is howling like this swirling storm inside,23.950,35.338,11.388,29.120,32.864,3.744,5.170,2.474,9,9,0.064,0.944,0.448,swirling,storm,0.250,0.080,line-0005,lyric,line-0007,lyric,audio-phrase-boundary-after-low-confidence-line,inferred-from-next-display-line,fallback,kara-creator-audio-phrase-boundary-rescue,line_start_adjusted_after_low_confidence_phrase_boundary_needs_review,False
0,ok,No obvious diagnostic issue detected.,Section 2,line-0007,lyric,"Couldn't keep it in, heaven knows I tried",35.418,40.454,5.036,35.568,38.096,2.528,0.150,2.358,8,8,0.416,0.576,0.328,in,heaven,0.080,1.250,line-0006,lyric,line-0008,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,long_tail_after_last_word_needs_review,False
100,very_large_internal_word_gap|first_word_anchor_suspect|first_gap_outlier|pronunciation_or_tokenisation_check,"Treat as a likely bad word-anchor section. Consider local realignment rather than manual display-only repair. Check whether the first word has been placed too early or too late. Compare the first word against the rest of the line. The opening anchor may be unreliable. Check contractions, hyphens, rare words, and custom pronunciations.",Section 3,line-0008,lyric,"Don't let them in, don't let them see",41.704,45.834,4.130,39.280,45.280,6.000,-2.424,0.554,8,8,3.424,3.424,0.472,don't,let,1.250,0.080,line-0007,lyric,line-0009,lyric,corrected-word-cluster,inferred-from-next-display-line,fallback,lyrics-aligner-corrected-word-cluster,first_word_anchor_suspect|large_internal_word_gap_needs_review|line_start_auto_adjusted_needs_review|low_confidence_internal_alignment_needs_review,False
0,ok,No obvious diagnostic issue detected.,Section 3,line-0009,lyric,Be the good girl you always have to be,45.914,49.274,3.360,46.064,48.800,2.736,0.150,0.474,9,9,0.208,0.640,0.352,always,have,0.080,0.080,line-0008,lyric,line-0010,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 3,line-0010,lyric,"Conceal, don't feel, don't let them know",49.354,55.386,6.032,49.504,52.368,2.864,0.150,3.018,7,7,0.672,0.736,0.416,feel,don't,0.080,0.080,line-0009,lyric,line-0011,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
