severity,diagnostic_category,recommended_action,section,line_id,display_type,text,start,end,duration,word_start,last_word_start,word_span,start_to_first_word,final_word_hold,word_count,text_word_count,first_internal_word_gap,max_internal_word_gap,computed_later_gap_typical,max_gap_before_word,max_gap_after_word,gap_from_previous_end,gap_to_next_start,previous_line_id,previous_display_type,next_line_id,next_display_type,line_anchor_source,line_end_source,line_end_confidence,timing_source,review_flags,edited_manually
10,instrumental_placeholder,Check only if the visual instrumental gap feels wrong in the editor.,Section 1,line-0001,instrumental,. . .,0.000,11.310,11.310,,,,,,0,0,0.000,0.000,0.000,,,,1.500,,,line-0002,lyric,,,,instrumental-placeholder-inferred,instrumental_at_start_needs_review|instrumental_timing_needs_review,False
0,ok,No obvious diagnostic issue detected.,Section 2,line-0002,lyric,If I met myself back then I wonder what I'd say,12.810,18.147,5.337,12.960,17.136,4.176,0.150,1.011,11,11,0.192,0.976,0.400,wonder,what,1.500,0.750,line-0001,instrumental,line-0003,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,late_anchor_rescue_skipped_after_instrumental_placeholder,False
100,large_internal_word_gap|first_word_anchor_suspect|first_gap_outlier|pronunciation_or_tokenisation_check,"Review word anchors. If the gap is musical rather than real, mark this as a local realignment candidate. Check whether the first word has been placed too early or too late. Compare the first word against the rest of the line. The opening anchor may be unreliable. Check contractions, hyphens, rare words, and custom pronunciations.",Section 2,line-0003,lyric,Would I tell that simple wide-eyed girl the truth,18.897,25.946,7.049,17.664,23.200,5.536,-1.233,2.746,9,9,1.840,1.840,0.512,would,i,0.750,0.080,line-0002,lyric,line-0004,lyric,corrected-word-cluster,inferred-from-next-display-line,fallback,lyrics-aligner-corrected-word-cluster,first_word_anchor_suspect|large_internal_word_gap_needs_review|line_start_auto_adjusted_needs_review,False
0,ok,No obvious diagnostic issue detected.,Section 2,line-0004,lyric,"If I met myself again, a child who'd lost her way",26.026,32.394,6.368,26.176,30.464,4.288,0.150,1.930,11,11,0.176,1.008,0.368,myself,again,0.080,0.080,line-0003,lyric,line-0005,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 2,line-0005,lyric,Who was just about to pay the price of youth,32.474,38.698,6.224,32.624,36.064,3.440,0.150,2.634,10,10,0.144,0.768,0.384,about,to,0.080,0.080,line-0004,lyric,line-0006,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 3,line-0006,lyric,I'd tell her only fools rush in and think the heart can lead,38.778,45.322,6.544,38.928,43.472,4.544,0.150,1.850,13,13,0.112,0.768,0.400,fools,rush,0.080,0.080,line-0005,lyric,line-0007,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 3,line-0007,lyric,"I'd tell her grow a thicker skin, 'cause girl you're gonna bleed",45.402,51.898,6.496,45.552,49.968,4.416,0.150,1.930,12,12,0.096,0.880,0.400,gonna,bleed,0.080,0.080,line-0006,lyric,line-0008,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 3,line-0008,lyric,"I'd tell her blue skies turn to grey, the only question's when",51.978,58.714,6.736,52.128,57.648,5.520,0.150,1.066,12,12,0.112,1.568,0.424,question's,when,0.080,0.080,line-0007,lyric,line-0009,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
0,ok,No obvious diagnostic issue detected.,Section 3,line-0009,lyric,I'd make her see her future's me,58.794,63.038,4.244,58.944,61.872,2.928,0.150,1.166,7,7,0.112,1.248,0.256,see,her,0.080,0.750,line-0008,lyric,line-0010,lyric,first-word,inferred-from-next-display-line,fallback,lyrics-aligner-word-starts,,False
100,large_internal_word_gap|first_word_anchor_suspect|first_gap_outlier,"Review word anchors. If the gap is musical rather than real, mark this as a local realignment candidate. Check whether the first word has been placed too early or too late. Compare the first word against the rest of the line. The opening anchor may be unreliable.",Section 3,line-0010,lyric,If I met myself again,63.788,67.140,3.352,62.352,65.952,3.600,-1.436,1.188,5,5,2.144,2.144,0.352,if,i,0.750,0.080,line-0009,lyric,line-0011,instrumental,corrected-word-cluster,audio-vocal-offset,medium,lyrics-aligner-corrected-word-cluster,first_word_anchor_suspect|large_internal_word_gap_needs_review|line_start_auto_adjusted_needs_review,False
